LUBMIBTWBTROMGUSRWYX,3.8,0.6,0.7,7.9,7.5,4.9,0.9,7.4,0.4,3.8,5.9,2.6,1.9,6.0,6.5
RUXOTIMKSZVUZFOSFPGN,4.3,2.4,6.2,9.4,5.3,4.0,1.4,0.5,9.0,5.4,1.4,4.9,7.0,1.1,8.7
UPMUGBAZFLXWRJWXZJXI,7.3,4.1,2.3,8.6,7.7,0.5,1.4,4.6,8.2,7.1,4.5,1.5,1.0,5.4,8.5
WHDVWOULSCEAZVTYNIXQ,6.1,6.0,1.3,1.6,1.1,8.7,2.5,7.6,0.5,8.7,2.0,0.3,8.5,3.7,2.8
KOVJXSQQCHCAFBYRMUTI,8.1,2.0,6.5,1.2,0.2,0.2,1.9,0.1,2.6,0.6,3.5,8.2,6.5,1.8,6.9
ECNJESKWEVMJYUHIATNC,5.4,7.4,4.4,6.6,9.6,8.9,9.0,4.3,1.0,4.9,3.4,2.8,8.4,0.4,7.9
LIVEXOONGIVFXZZQXIXC,8.1,5.4,3.2,7.7,4.1,8.7,4.8,4.7,8.8,5.7,6.7,2.7,6.4,3.5,8.7
OXHJSRAMWJTAJLGCDTDW,9.1,2.3,9.5,2.9,6.0,8.6,6.3,2.1,6.9,8.5,7.8,3.7,7.5,2.6,8.7
LZHLLDDEKWWVASCDWIVU,2.0,6.5,4.7,6.2,8.2,3.2,0.6,1.1,2.2,2.4,6.8,3.0,10.0,4.0,0.2
MKBCEIDANIMVQKUKTNTJ,9.3,5.4,2.4,7.1,3.7,9.7,4.3,9.4,9.6,3.3,2.4,5.6,0.2,3.5,6.9
RGEHLZHPFZBGTLRROYYH,7.6,6.9,7.9,0.2,5.6,0.1,4.2,6.5,5.3,7.3,2.5,6.5,1.8,0.2,3.1
JSJKBANTYSCANNFOJPST,2.3,2.2,5.9,2.6,2.0,8.8,3.2,2.1,9.7,8.5,4.5,3.4,9.5,0.7,1.2
SYNTPLMXRNDXZVEVDDIC,9.7,9.8,0.6,8.0,9.9,2.2,3.6,6.9,8.4,9.4,1.3,4.6,7.7,3.7,4.2
JUBGYFBYNZKQOGWQSTEE,6.6,1.1,1.5,9.6,0.5,0.5,5.9,6.1,6.0,5.7,8.5,9.9,1.9,2.1,0.1
GEYPASYKHYDJGVFBMJJC,0.9,3.3,6.2,6.0,8.3,9.6,8.8,9.8,5.2,2.9,9.7,7.6,7.2,1.8,0.0
CNYWQTLGMYLDCWSIIMNC,5.6,4.6,8.5,9.0,7.7,3.5,8.9,8.0,2.1,4.9,2.0,1.0,9.6,1.3,9.6
ARMTDVBXFALMFTLYRLJC,0.6,0.5,3.2,7.6,0.9,6.0,1.0,4.8,9.1,7.6,2.8,6.2,4.8,3.9,5.7
OUFRZTMXLVOVZNEMGEDU,2.7,0.2,7.3,6.4,5.1,8.2,1.7,6.5,6.4,3.3,5.6,2.3,4.8,8.2,8.0
OMELCVTZKWHYIPOMBVIT,8.4,0.6,10.0,1.1,5.2,2.8,7.7,5.3,9.7,5.9,9.6,7.4,8.5,0.1,2.1
XVHWHNOHDIIXJSWCMVTA,7.5,9.6,1.3,9.1,5.1,3.2,8.8,5.9,7.3,7.5,3.1,5.5,0.2,8.8,4.0
UKLGROTFQJLHLTJHTZCE,1.3,3.1,8.0,7.1,6.4,1.4,5.4,8.6,8.1,3.8,9.2,3.2,8.6,0.4,2.8
JYDJSUCNTLSMVLNTBCBS,7.6,9.1,9.2,0.6,2.5,8.5,8.3,5.1,1.3,0.4,3.3,7.6,6.9,9.7,0.9
GGNPQWGWXCAPUUUQYAQR,3.0,9.5,9.1,7.5,8.8,0.7,1.8,4.3,2.6,6.9,4.0,4.1,0.9,0.7,7.8
DWAFBTNUNSNTWOHYEGVO,3.1,0.4,0.2,7.4,4.1,6.3,5.9,1.5,0.8,5.2,8.9,3.7,5.9,3.5,5.5
NBDTEXBFKWIJDGVOMSLA,9.6,5.1,2.8,7.3,5.2,5.0,7.3,0.1,9.2,9.3,6.2,8.7,8.1,2.0,4.1
XWDUTNRHBZGFKVDHCGDQ,6.5,2.3,1.2,7.2,4.0,4.4,9.9,1.5,6.3,7.9,1.2,5.0,9.2,0.5,1.6
FUNFGGGYXBHYBRPXPTOR,6.8,4.2,3.4,3.0,2.2,1.0,3.3,6.8,1.2,1.8,1.6,9.6,0.6,1.1,5.4
EWVONUJYVSIIQRPPVYFQ,1.5,8.2,2.4,3.0,6.6,3.8,1.7,1.7,4.0,3.2,2.5,7.5,0.7,3.4,7.4
EVCAJZXIKPQNYWRTUZQX,1.3,8.4,9.5,1.1,7.0,2.1,6.4,1.5,7.1,6.3,6.4,6.1,8.1,5.7,8.3
PTAIKUROHVTVGKDOXPTE,8.6,3.8,0.2,2.3,1.0,6.4,4.9,9.7,1.4,6.9,2.9,3.3,6.0,6.2,3.5
WBPVJFGWGHFAAPWEGTHP,9.2,8.2,6.8,9.1,5.6,4.0,9.5,1.7,9.0,0.6,2.7,0.1,1.7,0.7,0.6
LUGAMRIMCNQPGCTVJGER,7.7,7.2,6.6,8.8,6.3,8.3,8.6,2.3,3.7,5.2,8.3,7.4,9.5,2.3,7.7
